t,x,y,z,dx,dy,dz
0.0,6.035050397100483,6.377397640431666,13.992922777947454,29.24065802321074,32.789282707978984,4.345177969650393
0.03,6.1359335893958145,6.210931176809648,14.049679734099731,18.836277344978953,-9.306120191699392,-25.33875729834017
0.06,6.1187786625285545,5.985899048771568,14.080235846610009,-21.261911738369236,-26.867275580429578,30.762396233675645
0.09,6.05680024903321,5.791944120693818,14.165690620500678,-5.417313536981965,-4.508272940925053,-47.217135992826115
0.12,5.966707099799696,5.588644384673991,14.116441998787808,-11.217161564504295,-9.051131504285422,27.591681247284214
0.15,5.845319037666029,5.416020960217445,13.935728613533875,-5.860386890502468,-14.618872269611984,0.6614254295272985
0.18,5.70935938991067,5.301101401893064,13.867421636604062,-20.379938723367104,-7.577589474652996,-31.46806231231676
0.21,5.577389283091103,5.1702608729113635,13.732580730343562,10.353109771385789,-6.573039426305058,-10.342447076593999
0.24,5.448745078047635,5.1014995558668375,13.552125916675287,-14.174031182063572,-3.119619652618894,-36.722408770829134
0.27,5.347121543868882,5.04315403138008,13.275738702624544,-7.918475173258685,1.5942918465789262,23.794114641723354
0.3,5.245984028629718,4.989769865229419,13.08193169313642,-13.045452815250883,11.556444814372753,22.018269030406373
0.33,5.189180524104278,5.013283288776884,12.92718785935728,9.79124120443339,-12.797375892245782,-6.977899613572845
0.36,5.140079214363812,5.040242939214156,12.69140927303034,-1.7833906751316135,0.9015997848787265,-28.875003372602805
0.39,5.131207440195964,5.108253929092035,12.492759629995325,-11.503201182868906,15.681481010992684,-31.896310974136213
0.42,5.153458673527079,5.18592956616653,12.343251487943446,-2.369296676294198,18.294411624828626,-2.7699387290213053
0.45,5.167861373621925,5.3086176828835185,12.220059772311357,-6.381168509710733,12.371883579067799,-30.047011399675284
0.48,5.23765253813916,5.414937820128907,12.142887842403397,-1.942719544643296,0.6363249223163621,-8.817167900623645
0.51,5.289358522041306,5.575927035724085,12.085997008135553,-3.794145402400318,12.410112976978326,23.38951658064252
0.54,5.3784619370807745,5.696572399331378,12.031613134069914,3.858324749157873,-13.302024538301794,-10.811026123573356
0.5700000000000001,5.504754275938962,5.832418538931391,12.04812425402537,21.514697801932016,12.106097648655123,-13.687501997856089
0.6,5.607034480194228,5.99723404635374,12.11518710778988,-10.894666310390676,-2.4100063999185295,-8.628995745065367
0.63,5.7407361493217515,6.084720182782425,12.288379356947319,6.754401799923471,9.975897059464842,-8.290292513683198
0.66,5.853916113188501,6.211321770593566,12.410756672299073,5.377152679775008,-2.494843626865986,-16.35784105867424
0.6900000000000001,5.954555607505716,6.3156895371589306,12.520749650187854,-6.748380836120759,-8.977024809025806,-27.938475444469987
0.72,6.064134847659291,6.378124123279542,12.678443388066004,-1.1076302437431877,-15.82621848825329,-20.42659712090699
0.75,6.136201476424421,6.381474310420638,12.869268610885612,21.443569766434393,-7.897398023505048,18.17418153662129
0.78,6.192026638467373,6.398283084374011,13.086543707412073,2.3824805226681747,-5.9085479644190855,25.16658894064949
0.81,6.227509061713386,6.334751073014211,13.305565922969476,-10.319671562775056,5.727623698312527,3.1152772186496804
0.84,6.252427111369535,6.261248346485841,13.397739012099002,-9.29711116384442,-9.22620083494212,-9.371696735824116
0.87,6.226889695033013,6.180502899796407,13.631063665967762,7.364304199183607,-4.455449152446818,7.825738965087112
0.9,6.2133723659625595,6.066211161115827,13.7255433580381,4.1441938675511665,0.3587290845075586,-29.00580557500234
0.93,6.141833698318389,5.908516662353564,13.719888782841052,-2.8415822102215316,3.0227492000649363,-2.519869538579769
0.96,6.066813289019554,5.772598120146423,13.81520047831059,-12.819216201117342,-0.4901761004639411,-0.24818453036732535
0.99,5.981885190970845,5.649564283785248,13.75837430408582,10.574480805064013,7.912139030168873,39.48121644787079
1.02,5.882942333468989,5.549622751058491,13.7348113618343,-0.13069564193938277,-22.58096872249098,20.43811821422696
1.05,5.76768223340104,5.415773371444041,13.584540083278192,0.4991803363091094,9.786154251984044,-3.700980821664416
1.08,5.657367884593015,5.335429004846095,13.46588477408091,-10.901505209115385,-12.508561126803215,3.5248433595688766
1.11,5.575202279608482,5.294382748492425,13.342174533245299,-19.85514849830315,15.095315909810779,3.6312523308351956
1.1400000000000001,5.462698489377346,5.241579746077803,13.21011968905799,5.078383076068349,14.847824790178038,-22.655285021396594
1.17,5.410460694797934,5.222877854912495,13.094542100634165,0.7643941331166388,12.201699173016095,-37.57435838222409
1.2,5.341642664929642,5.219655861669512,12.950770083892078,-21.64548695337089,-0.43981448425756753,8.563292896111307
1.23,5.308420742028568,5.242656062231509,12.809700017420571,-0.5789359796453937,3.4044454760219196,1.6074185226907503
1.26,5.302033062030979,5.2751893411251,12.645778582532571,-7.227253933999691,15.69100089569065,30.008252758190793
1.29,5.311836662349491,5.334398236259877,12.513102648740878,18.246031922048587,-3.601724193971677,13.794115619630247
1.32,5.3481134672333,5.433177503222331,12.418252339062581,-7.128201342124157,10.4203596917514,19.361154350503057
1.35,5.369953684925706,5.506195829049327,12.35042738085737,0.11994746993468652,-6.368326904884725,-21.218521018679894
1.3800000000000001,5.421238106025601,5.632379704720768,12.375590825157591,-8.429182960125672,-6.732251178467777,-6.581427067750155
1.41,5.475831144471007,5.7217710023246395,12.342991973910857,-1.9122846705249685,13.516897908361443,-32.31798677400093
1.44,5.560476818668116,5.810511940913084,12.34872315396007,7.097886608288718,15.744191410427902,6.64818806141102
1.47,5.666848740761004,5.908359585784239,12.381160823224127,16.21111373737267,10.480635877298027,45.80492141507057
1.5,5.7519375363307805,5.984602562062133,12.419728311786928,9.355889238943291,15.69715594492618,42.666173149881615
1.53,5.824000268926566,6.105957618106606,12.561071079387373,-7.059019083032581,-6.7638340879730094,43.31211502528913
1.56,5.881541432870534,6.141594294239911,12.699689440601428,9.0121528557097,-7.493692753505002,46.9235455571943
1.59,5.983864797885771,6.175749439198195,12.843494187268625,15.495282123958077,-1.9719001673065577,13.255524185210561
1.62,6.020703613858664,6.1950851358468855,12.922103879426647,1.2071057014636608,6.262810811210329,43.763913030527874
1.6500000000000001,6.067895604267714,6.222102193266117,13.058298534240745,-11.567673424789973,-12.849158962966612,-23.669328813104585
1.68,6.097979835791706,6.189359568544892,13.146155993434347,7.456074328000341,-11.511744436032586,-13.058008383792185
1.71,6.10356577278519,6.101982280545292,13.346212398878594,-2.539995907089178,-9.750248582801305,-37.1821044590115
1.74,6.0914598211596,6.07186547992778,13.467220425589083,3.7023041091747473,10.687395334795838,23.370533760436047
1.77,6.088220532229818,5.962702681902395,13.50264777867324,-8.692435390164974,-3.211972512975535,27.89056634021017
1.8,6.064701254883945,5.880515687231165,13.502215631107976,-1.8267238487574105,-15.933168364105768,-9.367042841933653
1.83,5.982343926608424,5.808782929543102,13.550110480456457,0.24693630441697678,19.670931377866964,-1.6815264366723568
1.86,5.926626049216039,5.6852886528980004,13.545584072888474,-21.207650792674485,-6.220885782456207,44.4551111478313
1.8900000000000001,5.833474529100301,5.597199241542788,13.558497954717298,1.3523401472225487,-12.483741000045484,28.228000823503862
1.92,5.768784455824852,5.525622530211577,13.46532127561375,-14.81199157215815,-6.36641055841983,-6.641659357556819
1.95,5.686080871063563,5.466601500876275,13.405838883171011,-9.545567853410375,3.510710165644923,-35.85687012350991
1.98,5.618842194409757,5.429175308297193,13.290891939949493,8.205179872494227,1.3444409406115483,3.9109291797885817
2.0100000000000002,5.566695500920984,5.366959631018133,13.233418778410309,-11.62862841265769,-3.903348304503652,-47.26123627517791
2.04,5.500001018144118,5.353861481413404,13.072889769405892,-20.274807037560095,0.8254250585882801,-29.119083893997413
2.07,5.473303172473147,5.341010197935717,13.000621919708452,-16.101548064367307,8.834763966923674,-6.766701629226191
